site,substrate.class,n,cover
Black Point,Algae,12,40
Black Point,Live coral,10,33.333333333333336
Black Point,Rock,4,13.333333333333334
Black Point,Sand,3,10
Black Point,Sponge,1,3.3333333333333335
Brewer's Bay,Algae,9,33.333333333333336
Brewer's Bay,Dead coral,4,14.814814814814815
Brewer's Bay,Live coral,11,40.74074074074074
Brewer's Bay,Rock,1,3.7037037037037037
Brewer's Bay,Sand,1,3.7037037037037037
Brewer's Bay,Sponge,1,3.7037037037037037
Flat Cay,Algae,2,6.666666666666667
Flat Cay,Dead coral,4,13.333333333333334
Flat Cay,Live coral,13,43.333333333333336
Flat Cay,Rock,9,30
Flat Cay,Sand,1,3.3333333333333335
Flat Cay,Unknown,1,3.3333333333333335
